131.56,131.85,132.05,132.32,132.35,132.61,132.81,133.07,133.11,133.49,133.87,134.21,134.48,134.53,135.0,135.2,135.72,136.13,136.78,137.01,137.08,138.07,138.4,138.74,139.21,139.96,140.29,140.86,141.31,141.87,142.22,143.08,143.67,143.96,144.48,144.98,145.56,145.96,146.44,147.1,147.66,148.17,148.39,149.14,149.94,150.38,150.9,151.21,151.91,152.51
131.49,131.77,132.06,132.34,132.34,132.64,132.75,133.01,133.06,133.45,133.97,134.2,134.44,134.59,135.08,135.12,135.65,136.14,136.73,136.98,137.17,138.07,138.45,138.64,139.32,139.91,140.35,140.92,141.41,141.97,142.32,143.13,143.7,144.05,144.47,145.07,145.66,146.08,146.57,147.17,147.75,148.27,148.52,149.23,149.88,150.29,150.79,151.15,151.83,152.52
131.4,131.67,132.02,132.3,132.3,132.65,132.67,132.94,132.99,133.39,134.01,134.13,134.37,134.62,135.13,135.02,135.56,136.13,136.66,136.93,137.22,138.03,138.47,138.52,139.38,139.83,140.38,140.94,141.47,142.02,142.38,143.13,143.69,144.09,144.44,145.11,145.7,146.15,146.66,147.2,147.79,148.32,148.6,149.29,149.8,150.18,150.66,151.07,151.72,152.5
131.28,131.54,131.96,132.22,132.24,132.62,132.57,132.85,132.9,133.31,134.01,134.03,134.29,134.61,135.14,134.91,135.46,136.09,136.57,136.85,137.24,137.98,138.45,138.39,139.41,139.72,140.37,140.91,141.49,142.03,142.4,143.1,143.65,144.1,144.38,145.11,145.71,146.17,146.71,147.2,147.78,148.32,148.64,149.3,149.69,150.04,150.51,150.96,151.59,152.44
131.14,131.4,131.86,132.1,132.16,132.57,132.45,132.73,132.79,133.21,133.96,133.89,134.19,134.58,135.12,134.78,135.36,136.02,136.46,136.75,137.23,137.9,138.41,138.25,139.4,139.6,140.33,140.84,141.47,142.0,142.38,143.03,143.58,144.07,144.29,145.07,145.68,146.16,146.72,147.16,147.74,148.27,148.64,149.27,149.55,149.89,150.35,150.84,151.43,152.35
130.98,131.24,131.74,131.94,132.05,132.49,132.31,132.6,132.67,133.1,133.87,133.73,134.07,134.52,135.08,134.64,135.24,135.93,136.33,136.64,137.19,137.79,138.33,138.1,139.36,139.46,140.27,140.73,141.42,141.94,142.33,142.93,143.48,144.01,144.18,145.0,145.61,146.11,146.69,147.09,147.66,148.19,148.61,149.2,149.4,149.72,150.17,150.69,151.25,152.23
130.79,131.06,131.59,131.76,131.93,132.38,132.16,132.45,132.53,132.97,133.76,133.55,133.94,134.44,135.0,134.48,135.1,135.83,136.19,136.5,137.12,137.67,138.23,137.94,139.29,139.3,140.17,140.6,141.34,141.85,142.25,142.81,143.35,143.92,144.04,144.89,145.52,146.03,146.64,147.0,147.56,148.08,148.54,149.1,149.23,149.54,149.98,150.52,151.05,152.08
130.59,130.87,131.42,131.56,131.78,132.25,132.0,132.29,132.38,132.83,133.63,133.36,133.8,134.34,134.9,134.31,134.96,135.7,136.04,136.35,137.03,137.53,138.1,137.78,139.19,139.13,140.06,140.44,141.24,141.73,142.14,142.66,143.19,143.81,143.89,144.76,145.4,145.92,146.55,146.87,147.43,147.94,148.44,148.97,149.04,149.34,149.78,150.34,150.83,151.92
130.38,130.66,131.23,131.36,131.62,132.11,131.82,132.11,132.21,132.67,133.49,133.17,133.64,134.21,134.78,134.13,134.81,135.56,135.87,136.19,136.91,137.37,137.95,137.6,139.07,138.95,139.92,140.27,141.12,141.59,142.01,142.48,143.02,143.68,143.71,144.61,145.26,145.79,146.44,146.72,147.28,147.78,148.32,148.81,148.83,149.12,149.57,150.14,150.6,151.73
130.15,130.44,131.02,131.15,131.45,131.94,131.63,131.92,132.04,132.5,133.34,132.98,133.48,134.07,134.64,133.94,134.65,135.4,135.69,136.01,136.77,137.19,137.78,137.42,138.92,138.75,139.77,140.09,140.98,141.44,141.87,142.29,142.82,143.53,143.52,144.44,145.1,145.64,146.31,146.55,147.11,147.6,148.18,148.63,148.61,148.9,149.35,149.93,150.35,151.52
