152.36,187.44,149.38,147.31,145.18,143.35,140.8,0.0,137.01,174.4,132.52,130.66,128.23,125.86,123.81,121.59,0.0,117.22,115.0,112.87,110.37,107.83,105.71,103.13,100.88,98.9,96.25,141.48,127.0,58.18,128.61,85.62,82.86,81.1,78.67,76.28,74.11,71.9,69.83,67.46,65.03,62.55,60.19,57.19,0.0,52.7,49.83,47.41,79.92,42.13,39.7,37.04,34.9,0.0,0.0,27.57,24.46,21.6,19.16,0.0,13.67,0.0,52.79,5.08
152.46,187.89,149.58,147.52,145.36,143.51,140.92,0.0,137.17,173.98,132.67,130.89,128.41,126.03,124.0,121.79,0.0,117.41,115.22,113.07,110.54,108.0,105.91,103.29,101.0,99.1,96.42,141.01,127.87,58.13,129.5,85.84,83.05,81.34,78.85,76.46,74.27,72.08,70.02,67.64,65.25,62.78,59.98,57.06,0.0,52.94,50.01,47.6,79.45,42.01,39.88,37.21,35.13,0.0,0.0,27.9,24.68,21.8,19.4,0.0,13.85,0.0,53.17,5.28
152.63,188.33,149.83,147.8,145.61,143.72,141.13,0.0,137.38,173.55,132.87,131.16,128.65,126.25,124.24,122.03,0.0,117.65,115.48,113.35,110.76,108.24,106.17,103.51,101.18,99.35,96.65,140.39,128.74,58.11,130.38,86.12,83.31,81.63,79.1,76.71,74.5,72.31,70.25,67.86,65.52,63.07,59.8,57.01,0.0,53.23,50.26,47.86,78.98,41.95,40.13,37.45,35.42,0.0,0.0,28.28,24.97,22.07,19.7,0.0,14.09,0.0,53.66,5.54
152.86,188.78,150.11,148.12,145.91,143.98,141.4,0.0,137.63,173.12,133.12,131.47,128.93,126.51,124.52,122.32,0.0,117.94,115.78,113.68,111.03,108.54,106.48,103.78,101.41,99.64,96.94,139.69,129.61,58.19,131.26,86.44,83.62,81.98,79.4,77.01,74.78,72.6,70.53,68.12,65.85,63.41,59.68,57.03,0.0,53.54,50.56,48.17,78.51,41.97,40.43,37.74,35.76,0.0,0.0,28.69,25.33,22.4,20.05,0.0,14.38,0.0,54.24,5.85
153.15,189.22,150.44,148.49,146.26,144.27,141.73,0.0,137.92,172.68,133.42,131.83,129.25,126.81,124.84,122.65,0.0,118.26,116.11,114.07,111.34,108.9,106.84,104.09,101.68,99.98,97.27,138.94,130.47,58.43,132.14,86.79,83.98,82.37,79.75,77.35,75.12,72.94,70.85,68.41,66.23,63.79,59.62,57.11,0.0,53.89,50.9,48.52,78.05,42.07,40.78,38.09,36.14,0.0,0.0,29.13,25.74,22.8,20.44,0.0,14.73,0.0,54.88,6.2
153.49,189.66,150.8,148.89,146.64,144.6,142.1,0.0,138.25,172.25,133.75,132.22,129.61,127.14,125.19,123.01,0.0,118.62,116.48,114.5,111.69,109.29,107.23,104.45,102.0,100.34,97.65,138.19,131.34,58.88,133.03,87.18,84.38,82.79,80.13,77.74,75.49,73.31,71.21,68.73,66.64,64.21,59.62,57.24,0.0,54.27,51.29,48.91,77.58,42.28,41.18,38.48,36.55,0.0,0.0,29.59,26.18,23.23,20.87,0.0,15.11,0.0,55.58,6.59
153.86,190.1,151.2,149.32,147.05,144.96,142.51,0.0,138.61,171.81,134.12,132.63,130.0,127.51,125.56,123.4,0.0,119.0,116.87,114.96,112.07,109.71,107.65,104.85,102.35,100.74,98.05,137.45,132.22,59.5,133.92,87.6,84.81,83.23,80.55,78.15,75.89,73.72,71.59,69.09,67.07,64.65,59.7,57.44,0.0,54.67,51.69,49.33,77.12,42.57,41.62,38.89,36.98,0.0,0.0,30.06,26.65,23.7,21.32,0.0,15.53,0.0,56.3,7.0
154.26,190.54,151.61,149.77,147.48,145.36,142.93,0.0,139.01,171.36,134.52,133.08,130.42,127.89,125.97,123.81,0.0,119.42,117.29,115.43,112.48,110.16,108.08,105.27,102.73,101.17,98.47,136.72,133.1,60.22,134.81,88.05,85.26,83.69,80.99,78.58,76.31,74.14,72.01,69.47,67.52,65.11,59.86,57.68,0.0,55.1,52.12,49.76,76.65,42.93,42.07,39.33,37.43,0.0,0.0,30.54,27.13,24.18,21.79,0.0,15.97,0.0,57.04,7.43
154.67,190.97,152.05,150.22,147.91,145.77,143.36,0.0,139.43,170.92,134.94,133.54,130.86,128.31,126.39,124.25,0.0,119.86,117.73,115.9,112.91,110.61,108.53,105.71,103.14,101.61,98.9,135.99,133.99,60.97,135.7,88.51,85.71,84.16,81.43,79.02,76.75,74.58,72.44,69.87,67.98,65.57,60.1,57.97,0.0,55.54,52.56,50.21,76.19,43.33,42.54,39.78,37.89,0.0,0.0,31.01,27.61,24.67,22.27,0.0,16.42,0.0,57.77,7.87
155.09,191.4,152.51,150.68,148.35,146.21,143.8,0.0,139.87,170.47,135.39,134.02,131.32,128.74,126.84,124.71,0.0,120.31,118.19,116.37,113.36,111.06,108.98,106.17,103.58,102.08,99.33,135.26,134.89,61.72,136.6,88.99,86.16,84.62,81.88,79.47,77.19,75.02,72.89,70.29,68.44,66.04,60.44,58.3,0.0,55.99,53.0,50.65,75.73,43.76,43.01,40.24,38.34,0.0,0.0,31.48,28.08,25.16,22.74,0.0,16.87,0.0,58.48,8.31
